id,tag
238,Double Identity
239,Childish Female Lead
240,Hardworking Female Lead
241,Badass Male Lead (Vote or add tags)
242,Nine-tailed Fox
243,Action
244,1930s
245,Brothers' Relationship
246,Friendship (Vote or add tags)
247,Interspecies Romance
248,Dokkaebi
249,Age Gap [Drama Life]
250,Secondary Couple (Vote or add tags)
251,Crime Solving Duo
252,Alexithymia
253,Psychological (Vote or add tags)
254,Found Family
255,Evil Spirit
256,Righteous Male Lead
257,Orphan Male Lead
258,Spirit
259,Nice Male Lead (Vote or add tags)
260,Noble Man/Common Woman
261,Male Chases Female First
262,Master-Servant Relationship
263,King Male Lead (Vote or add tags)
264,Fencing
265,Competition
266,IMF Crisis
267,High School To Working Life
268,Reporter Male Lead (Vote or add tags)
269,Military Abuse
270,Desertion
271,Harassment
272,Humiliation
273,Miniseries (Vote or add tags)
274,Nurse Female Lead
275,Mental Illness
276,Nice Female Lead
277,Mental Hospital Setting
278,Inspired By Real Events
279,Co-workers' Relationship (Vote or add tags)
280,Virtual World
281,LGBTQ+
282,Game World
283,Gay Romance
284,School Setting
285,Senior-Junior Relationship
286,Gay Male Lead (Vote or add tags)
287,Taxi Driver Male Lead
288,Prosecutor Female Lead
289,Based On True Story
290,Secret Organization (Vote or add tags)
291,Epidemic
292,Zombies (Vote or add tags)
293,Searching For A Child
294,Cold Case
295,Hacker Female Lead
296,Social Justice
297,Missing Person (Vote or add tags)
298,Social Commentary
299,Family Pressure
300,Satire
301,Sibling Rivalry
302,Female Centered Plot
303,Friends To Lovers
304,Weightlifting
305,First Love
306,Bantering Relationship
307,Swimming
308,Sismance (Vote or add tags)
309,Weak To Strong
310,Anti-Villain Male Lead
311,Former Soldier Supporting Character
312,Former Soldier Male Lead
313,Sniper Supporting Character
314,Villain Supporting Character
315,Death Of A Mother
316,Businessman Male Lead (Vote or add tags)
317,Star Crossed Lovers
318,1980s
319,Rich Man/Poor Woman
320,Gwangju Uprising
321,Forbidden Love
322,Martial Law (Vote or add tags)
323,Love/Hate Relationship
324,Rich Woman/Poor Man
325,Sismance
326,Family Conflict
327,Generational Conflict
328,Police Procedural
329,Thriller (Vote or add tags)
330,Empathic Male Lead
331,2000s
332,Offender Profiling
333,Death (Vote or add tags)
334,Manipulative Female Lead
335,Rivalry
336,Dystopia
337,Unrequited Love
338,Tragic Past (Vote or add tags)
339,Badminton
340,Rural Life
341,Sport Club
342,Tough Male Lead
343,Arrogant Female Lead
344,Heartwarming
345,Childhood Connection (Vote or add tags)
346,Determined Male Lead
347,Psychological Manipulation
348,Father-Son Relationship (Vote or add tags)
349,Curse
350,Superhuman Strength
351,Pre-Produced
352,Class Conflict
353,Antihero Male Lead (Vote or add tags)
354,Screenwriter Supporting Character
355,Producer Supporting Character
356,Actor Male Lead
357,Director Supporting Character
358,Male Centered Plot
359,Theatre/Drama Club
360,Chasing A Dream
361,Filmmaking (Vote or add tags)
362,Slavery
363,Good Twin/Evil Twin
364,Political Intrigue (Vote or add tags)
365,Cheerful Male Lead
366,Opposites Attract
367,Strong Male Lead (Vote or add tags)
368,Forensic Science
369,Forensic Medical Examiner Male Lead
370,Prosecutor Supporting Character
371,Age Gap [Real Life]
372,Serial Killings
373,Rich Female Lead (Vote or add tags)
374,Revolution
375,Sword-fight
376,Taejong
377,Scheme
378,Taejo
379,Goryeo Dynasty
380,Bromance (Vote or add tags)
381,Jealousy
382,Possessive Male Lead
383,Secret Relationship
384,First Love (Vote or add tags)
385,Monster
386,Supernatural Phenomena
387,Paranormal
388,Precognition
389,Tragic Past
390,Childhood Acquaintance
391,Fated Love
392,Eccentric Female Lead (Vote or add tags)
393,Exorcism
394,Demon
395,Shamanism
396,Hot-Tempered Male Lead
397,Ghost-seeing Male Lead
398,Ghost (Vote or add tags)
399,Post-traumatic Stress Disorder (PTSD)
400,Fight For Justice
401,Noir
402,Teammates' Relationship (Vote or add tags)
403,Gang
404,Boss-Employee Relationship
405,Rich Male Lead (Vote or add tags)
406,Greed
407,Rich Male Lead
408,School Rivalry
409,High Society
410,Mother-Daughter Relationship (Vote or add tags)
411,High Class Society
412,Jealousy (Vote or add tags)
413,Blood
414,Double Identity (Vote or add tags)
415,Amnesia
416,Identity Swap
417,Competent Male Lead
418,Power Struggle (Vote or add tags)
419,Lovers Reunited
420,High School Sweethearts
421,Interview
422,Second Chance Romance
423,Character Development (Vote or add tags)
424,Dissociative Identity Disorder
425,Mean Male Lead
426,Psychiatrist Female Lead
427,Doctor Female Lead (Vote or add tags)
428,Detective Fiction
429,Team Leader Female Lead
430,Immature Male Lead
431,Childish Male Lead
432,Heir Male Lead
433,Conglomerate (Vote or add tags)
434,Detective Female Lead
435,Secondary Couple
436,Contract Relationship
437,Company President (CEO) Male Lead
438,Cheerful Female Lead
439,Male Chases Female First (Vote or add tags)
440,Spirit Possession
441,Occult
442,Folklore
443,Winter Setting
444,Ghost Supporting Character
445,Professor Male Lead
446,Detective Supporting Character
447,Detective Male Lead (Vote or add tags)
448,Firefighter Male Lead
449,Paramedic Female Lead
450,Student-Teacher Relationship
451,Selfish Parent
452,Escape From Death (Vote or add tags)
453,Cooking
454,Royal Rules And Etiquette
455,Queen Dowager Supporting Character (Vote or add tags)
456,Becoming Young
457,Teenage Pregnancy (Vote or add tags)
458,Workplace Abuse
459,Boss-Employee Relationship (Vote or add tags)
460,Gaslighting
461,Mental Torment
462,Animal Abuse
463,Animal Death (Vote or add tags)
464,Anthology
465,Island Setting
466,Middle-Aged Female Lead
467,Slow Burn Story
468,Middle-Aged Male Lead (Vote or add tags)
469,Reincarnation
470,Successful Male Lead
471,Baseball
472,Competition (Vote or add tags)
473,Genius Female Lead
474,Kidnapping
475,Adapted From A Novel
476,Ill Child
477,Investor Supporting Character (Vote or add tags)
478,Psychological Abuse
479,All-Girls School
480,Transfer Student Female Lead
481,Debt
482,Boxing
483,Boxer Male Lead
484,COVID-19
485,Multiple Mains (Vote or add tags)
486,Military
487,Military Training
488,Medical (Vote or add tags)
489,Eccentric Male Lead
490,Aggressive Male Lead
491,Teamwork (Vote or add tags)
492,Missing Person
493,Ghost
494,Warm Man/Cold Woman (Vote or add tags)
495,News Presenter Male Lead
496,Editor Female Lead
497,Journalist Male Lead (Vote or add tags)
498,Drugs
499,Married Male Lead
500,Drama (Vote or add tags)
