title_id,title,complete_title,release_year,rating,rater,casts_slug,screenwriter,director,poster,synopsis,country,type,episodes,aired,aired_on,original_network,duration,score,ranked,popularity,content_rating,watchers
743923-last-twilight,Last Twilight,Last Twilight (2023),2023,8.5,11958,/people/58087-jimmy-jitaphon-potiwihok|/people/58119-sea-tawinan-anukoolprasert|/people/71915-mark-pakin-kunaanuvit|/people/15217-weerawatnodom-tipnaree|/people/39803-film-rachanun-mahawawan|/people/112989-ohm-thiphakorn-thitathan,Bee Pongsate Lucksameepong|Best Kittisak Kongka,Aof Noppharnach Chaiyahwimhon,https://i.mydramalist.com/qYq3LP_4c.jpg,"Burdened with heavy debt, Mhok, a technical college student, applies for a high-paying job as a caregiver to Day, a badminton player with partial blindness due to infectious keratitis. Day hires Mhok who—unlike other applicants—seems to take no pity on him. With so much time spent in each others' company, the two develop a deep bond. When Day learns he'll have approximately 90 days until he loses what vision he has remaining, how will the two weather the trials ahead?(Source: MyDramaList)",Thailand,Drama,12,"Nov 10, 2023 - Jan 26, 2024",Friday,GMM 25,56 min.,"8.5 (scored by 11,958 users)",568,606,13+ - Teens 13 or older,24175
30290-girl-from-no-where-the-series,Girl From Nowhere,Girl From Nowhere (2018),2018,8.5,18876,/people/19646-chicha-amatayakul|/people/25797-gap-thanavate-siriwattanakul|/people/29787-yaimai-chinaradee-anupongpichat|/people/47267-palita-kitiyodom|/people/23168-naerunchara-lertprasert|/people/19352-up-poompat-iam-samang,Lek Kongdej Jaturanrasamee|Mai Aticha Tanthanawigrai|Siam Tinnapat Banyatpiyapoj,S Khomkrit Treewimol|Pokpong Pairach  Khumwan|Dom Sitisiri Mongkolsiri|Kuyteav Jatuphong Rungrueangdechaphat|Pete Taifa T-Thawat Taifayongvichit|Yemenz Siwawut Sewatanon|To Chai-a-nan Soijumpa|Petch Varayu Rukskul|Ming Apiwat Supateerapong,https://i.mydramalist.com/BwpQ1c.jpg,"A mysterious, clever girl named Nanno transfers to different schools, exposing the lies and misdeeds of the students and faculty at every turn.(Source: Netflix)",Thailand,Drama,13,"Aug  8, 2018 - Oct 31, 2018",Wednesday,GMM 25,46 min.,"8.5 (scored by 18,876 users)",590,328,18+ Restricted (violence & profanity),37827
33049-bad-genius-the-series,Bad Genius,Bad Genius (2020),2020,8.5,1662,/people/21190-jun-plearnpichaya-komalarajun|/people/27487-jaonaay-jinjett-wattanasin|/people/22791-paris-intarakomalyasut|/people/22792-sawanya-paisarnpayak|/people/10081-tangtong-saksit|/people/11825-nitiphon-aphasiri,Cook Tanida Hantaweewatana|Meen Tossaphon Riantong|Ham Vasudhorn Piyaromna,,https://i.mydramalist.com/vzX42_4c.jpg,What started from exam cheating in the classroom escalated to stealing a national test paper. These are not your everyday students. They're a reflection of the cheating that happens at every level in Thai society. Guaranteed with different versions and various forms of drama unlike the movie.(Source: WeTV Thailand),Thailand,Drama,12,"Aug  3, 2020 - Sep  8, 2020","Monday, Tuesday",One 31 WeTV,55 min.,"8.5 (scored by 1,662 users)",596,2920,15+ - Teens 15 or older,4777
715931-my-school-president,My School President,My School President (2022),2022,8.5,21034,/people/77323-gemini-norawit-titicharoenrak|/people/60397-fourth-nattawat-jirochtikul|/people/67663-winny-thanawin-pholcharoenrat|/people/55531-satang-kittiphop-sereevichayasawat|/people/77319-ford-arun-asawasuebsakul|/people/77377-prom-theepakorn-kwanboon,Pratchaya Thavornthummarut|Bee Pongsate Lucksameepong,Au Kornprom Niyomsil,https://i.mydramalist.com/0Z8Ve_4c.jpg,"Student body president Tinn has a secret crush on Gun, the head of the music club and lead singer of the middling band Chinzhilla. The son of the principal, Tinn is instructed to axe any clubs that don't boost their school's reputation. The music club tops that list and Tinn is therefore Gun's number one enemy. Desperate to save his club, Gun will do anything, even pledge servitude to Tinn. When Tinn learns Chinzhilla has a rule that band members aren't permitted to date until they win the Hot Wave Music Contest, he vows to do whatever it takes to help them do just that. (Source: MyDramaList) ~~ Adapted from the novel ""My Boyfriend is the President"" (แฟนผมเป็นประธาน) by Pruesapha (พฤษภา).",Thailand,Drama,12,"Dec  2, 2022 - Feb 24, 2023",Friday,GMM 25 ViuTV,55 min.,"8.5 (scored by 21,034 users)",619,376,13+ - Teens 13 or older,34398
709801-matalada,To the Moon and Back,To the Moon and Back (2023),2023,8.4,884,/people/9051-joonkiat-jarinporn|/people/7160-tangsrisuk-jirayu|/people/94167-amanda-chalisa-obdam|/people/23121-vachirawich-aranthanawong|/people/16439-niti-chaichitatorn|/people/7350-hiranyatithi-chatayodom,,Pawanrat Naksuriya,https://i.mydramalist.com/60Q7V2_4c.jpg,"Dr. Purim, a renowned neurosurgeon from a privileged family, breaks free from his father's controlling influence to live independently. His secret hobby is baking, a form of solace. However, his peaceful life is disrupted when he gets a Bohemian-dressed neighbor, Matalada. She's raised by a loving single father who owns a cabaret. Mistaking Purim's Halloween cake for something sinister, she enters his life. They bond over baking, and Matalada's warmth and unconventional family fill the void in Purim's heart.(Source: MyDramaList)~~ Adapted from the novel “Matalada” (มาตาลดา) by Natnara (ณัฐณรา).",Thailand,Drama,21,"Jun  6, 2023 - Aug 15, 2023","Monday, Tuesday",Channel 3,1 hr. 12 min.,8.4 (scored by 884 users),690,4165,G - All Ages,2939
27368-happy-birthday,Happy Birthday,Happy Birthday (2018),2018,8.4,1504,/people/7995-kasetsin-puttichai|/people/10592-jiravechsoontornkul-lapalal|/people/8496-rattanaruangwattana-pluem|/people/13814-supsap-ployshompoo|/people/9651-promsiri-santisuk|/people/12864-lawanprasert-srungsuda,Parkpoom Nuntalit,,https://i.mydramalist.com/Vbnw0c.jpg,"Tonmai was born on the day that his sister died. His parents never celebrated his birthday and he had never received a birthday present. Then on his 17th birthday, his dad gave him his sister's room as a gift. In this room he meets his sister's ghost, whom only he can see.",Thailand,Drama,13,"Oct  7, 2018 - Dec 30, 2018",Sunday,GMM 25,50 min.,"8.4 (scored by 1,504 users)",685,2942,G - All Ages,4729
50007-boys-over-flowers,F4 Thailand: Boys Over Flowers,F4 Thailand: Boys Over Flowers (2021),2021,8.4,19136,/people/50873-tu-tontawan-tantivejakul|/people/21997-vachirawit-chivaaree|/people/50869-dew-jirawat-sutivanisak|/people/30005-win-metawin-opas-iamkajorn|/people/50861-nani-hirunkit-changkham|/people/30767-prim-chanikarn-tangkabodee,Manow Waneepan Ounphoklang|Mook Jarinee Thanomyat|PingPong Suwanun Pohgudsai,,https://i.mydramalist.com/BYKWb_4c.jpg,"Gorya is a simple girl who works at a flower shop. She passes an exam and gets accepted into a prestigious and luxurious school attended by the wealthy. The school is ruled by an elite clique known as the F4  consisting of four rich, handsome and spoiled boys. Gorya is the only one who stands up to their bullying, leaving all the boys in awe, especially Thyme, the group's leader. Almost instantly smitten by Gorya, Thyme romantically pursues her but she has no interest in him due to first impressions.  She instead falls for his best friend Ren, However, Ren is still in love with his childhood love Mira. In all the chaos of school, Gorya can't help but find herself falling for Thyme because of his generosity to her and her family and his change of character.(Source: MyDramaList)~~ Adapted from the manga “Hana Yori Dango” (花より男子) by Kamio Yoko (神尾葉子).",Thailand,Drama,16,"Dec 18, 2021 - Apr  9, 2022",Saturday,GMM 25 ViuTV,1 hr. 2 min.,"8.4 (scored by 19,136 users)",694,294,13+ - Teens 13 or older,40343
13865-kleun-cheewit,Kleun Cheewit,Kleun Cheewit (2017),2017,8.4,7152,/people/7122-suparat-prin|/people/7123-sperbund-urassaya|/people/8024-scott-louis|/people/9051-joonkiat-jarinporn|/people/7271-dungwattanawanich-nuttanicha|/people/14364-junyangdikul-masu,Danaya Supying,Aew Ampaiporn Jitmaingong,https://i.mydramalist.com/qwJo0c.jpg,"Jeerawat is a hardworking woman, who is a famous model and actress. Her mother married a smarmy but rich man, who secretly lusts after her.  After he attempts to drug Jeerawat, she manages to escape by driving away. Unfortunately, she hits a young woman on the road, who later dies at the hospital.The dead young woman has a fiancee, Sathit, who happens to be a lawyer. He vows revenge on the female driver who killed his beloved fiancee. Unfortunately, Jeerawat's stepfather and mother use their influence and money to hide and hush all evidence. Sathit decides to stalk and bother her to find evidence that she's an evil and manipulative temptress. But in the end, he finds out she's actually a good and kind person, despite her lowly beginnings, and gradually falls in love with her.",Thailand,Drama,15,"Jan 23, 2017 - Mar 13, 2017","Monday, Tuesday",Channel 3,1 hr. 50 min.,"8.4 (scored by 7,152 users)",707,1196,13+ - Teens 13 or older,13539
24193-project-s-the-series-side-by-side,Project S: Side by Side,Project S: Side by Side (2017),2017,8.4,1691,/people/7535-leeratanakajorn-thanapob|/people/10926-wongrawee-nateeton|/people/11483-suquan-bulakul|/people/23402-ple-hattaya-wongkrachang|/people/7972-paladesh-kemisara|/people/37359-ping-guntapat-kasemsan-na-ayudhya,Tang Pattaranat Phiboonsawat,,https://i.mydramalist.com/pllDb_4c.jpg,"Gym, an autistic teenager who was often bullied by his peers, decides to join the badminton team with his cousin Dong. However, Gym plays better than Dong, as Gym is able to control the dynamics of the game, leading to Dong's displeasure. With the help of Dong and Gym's widowed moms, are the two able to conquer all their fears and weaknesses to succeed in the badminton court? And what does the future hold for Gym and Dong's relationship?(Source: MyDramaList)",Thailand,Drama,8,"Jul 15, 2017 - Sep  2, 2017",Saturday,GMM 25,45 min.,"8.4 (scored by 1,691 users)",737,3209,13+ - Teens 13 or older,4237
682589-bad-buddy,Bad Buddy,Bad Buddy (2021),2021,8.4,38955,/people/11621-kirdpan-korapat|/people/11765-chittsawangdee-pawat|/people/30769-love-pattranite-limpatiyakorn|/people/54685-milk-pansa-vosbein|/people/58087-jimmy-jitaphon-potiwihok|/people/15679-laedeke-satbut,Pratchaya Thavornthummarut|Bee Pongsate Lucksameepong|Best Kittisak Kongka,Aof Noppharnach Chaiyahwimhon,https://i.mydramalist.com/kZdb8_4c.jpg,"Ever since they were young, Pran and Pat's families had a deep and raging rivalry, trying to one-up each other on everything. This also extended to their sons. Comparing their sons' achievements and merits,—whether it be academic or extracurricular—the two families leave no stone unturned to outshine and gloat in front of the other.The rivalry was passed down as a family heirloom and the two boys become rivals in turn. Until... they grow tired and become friends. Really good friends. However, because of their families' rivalry, their friendship has to be kept under wraps. And so began a journey of secret friendship... and then perhaps a secret romance?(Source: Soju at MyDramaList)~~ Adapted from the novel ""Behind The Scenes"" (หลังม่าน ) by Afterday and -West-.",Thailand,Drama,12,"Oct 29, 2021 - Jan 21, 2022",Friday,GMM 25 WeTV,55 min.,"8.4 (scored by 38,955 users)",784,154,13+ - Teens 13 or older,59285
711999-i-feel-you-linger-in-the-air,I Feel You Linger in the Air,I Feel You Linger in the Air (2023),2023,8.4,4877,/people/13900-santinatornkul-chanon|/people/62697-bright-rapheephong-thapsuwan|/people/11835-munyadon-kanokchat|/people/121937-june-teeratee-buddeehong|/people/112555-alee-auttharinya-uengsilpsrikul|/people/121935-guide-kantapon-chompupan,Jungjing Wanna Kortunyavat|Somchai Tidsanawoot|Tan Ekarin Mungmee,Tee Bundit Sintanaparadee,https://i.mydramalist.com/1w4PO6_4c.jpg,"Jom is an architect responsible for the renovation of a historic house alongside the Ping River. There he discovers a wooden chest packed with old drawings, drawings that look strangely familiar. The contents are intriguing. However, Jom doesn't have time to concern himself with them; he has plans to reunite with his boyfriend. For years, Jom has been counting the days till his boyfriend would return from his far away studies, only to find him engaged to someone else on his return.Heartbroken, Jom comes to a place of acceptance as he mistakenly runs his car into the river. In the cold darkness, Jom catches the sweet scent of fresh frangipani flowers coming from the stream and in the distance, he can make out a deep, gentle voice pronouncing clearly, ""Pho Jom.""Jom will find himself waking up in 1920s Chiang Mai.(Source: Thai = Goodreads || Translation = MyDramaList)~~ Adapted from the novel ""I Feel You Linger in the Air"" (หอมกลิ่นความรัก) by Violet Rain.",Thailand,Drama,12,"Aug 18, 2023 - Nov  3, 2023",Friday,LINE TV One 31 Youku,46 min.,"8.4 (scored by 4,877 users)",841,1043,18+ Restricted (violence & profanity),15375
71555-siadai-2020,Daughters,Daughters (2020),2020,8.4,458,/people/19646-chicha-amatayakul|/people/12246-chansangavej-chayanit|/people/59297-praew-praewpannarai-sansanapitayakorn|/people/41687-ploy-sornarin|/people/8190-sripinta-pongsatorn|/people/57047-shin-shindanai-kanoksrithawon,Khom Kongkiat Khomsiri|Titipong Chaisati|Yosapong Polsap|Kunakorn Sethi|Preayaporn Boonpa,Mangmoom Srikhumrung Yukol Rattakul,https://i.mydramalist.com/deqe0_4c.jpg,"Five teenagers suffered neglect from their families. They were entangled in various problems such as rape, homophobia, prostitution, domestic abuse, and drug addiction. One day, all of them decided to flee their house and gathered under one roof, resorting to drugs to numb the pain caused by their problems. (Source: Baddie at MyDramaList)",Thailand,Drama,24,"Dec  4, 2020 - Feb 12, 2021",Friday,iQiyi PPTV,48 min.,8.4 (scored by 458 users),836,4464,13+ - Teens 13 or older,2644
9828-full-house,Full House,Full House (2014),2014,8.3,10736,/people/7132-manaying-sushar|/people/7116-dangelo-mike|/people/7138-panichkul-uttsada|/people/7149-janesuda-jane|/people/7155-nisachon-siothaisong|/people/19852-seksan-sutthijanth,Jeab Wattana Weerayawattana,Nay Saratswadee Wongsomphet,https://i.mydramalist.com/81g0Ac.jpg,"Aom is a writer who got swindled out of her house during her trip to Korea. She finds out that her house was sold to Mike and in an attempt to get her possessions back, she enters a contract marriage with Mike for one year. Though she lost everything, Aom remains optimistic and takes things in stride. What started out as a business relationship between the two becomes personal as they start to care for each other.~~ Adapted from the manhwa “Full House” (풀하우스) by Won Soo Yeon (원수연).",Thailand,Drama,20,"Jan 11, 2014 - Mar 16, 2014","Saturday, Sunday",True4U,50 min.,"8.3 (scored by 10,736 users)",922,767,Not Yet Rated,19952
715909-p-s-i-hate-you,P.S. I Hate You,P.S. I Hate You (2022),2022,8.3,1343,/people/10929-chatchaipholrat-nichaphat|/people/13814-supsap-ployshompoo|/people/12246-chansangavej-chayanit|/people/40603-fah-yongwaree-ngamkasem|/people/19348-aye-sarunchana-apisamaimongkol|/people/18975-jamie-juthapich,Baison Jinatcha Maneesriwong,Tle Tawan Charuchinda,https://i.mydramalist.com/B8JrA_4c.jpg,"A secret tape of Phanthiwa is exposed at her wedding to Phureenat. Humiliated by the incident, she resolves to commit suicide. It was only her five-person friend group who knew Phantiwa's secret. Meena tries to find the culprit. During her investigation, Meena needs to dig through Phanthiwa's history with her ex-boyfriend, Pitch. The more she digs, the darker the truth about the clique's relationship gets.Thidawal is having an affair with Chanon, Meena’s boyfriend. Methacha is secretly filmed and blackmailed by Korawee who is the new boyfriend of Methacha’s mother. Saratsawadee, who seems to be a sweet conservative woman, is the mistress of Captain Key. She is being closely monitored by Key’s wife Natthamol and Lieutenant Term, Natthamol’s cousin. Palana, a mysterious girl in their friend cycle, may hold some secrets. (Source: GMMTV || Edited by MyDramaList)~~ Adapted from the novel ""Flower Maze"" (วงกตดอกไม้) by Baison (ใบสน).",Thailand,Drama,18,"Aug  1, 2022 - Sep 27, 2022","Monday, Tuesday",GMM 25 ViuTV,46 min.,"8.3 (scored by 1,343 users)",952,2815,13+ - Teens 13 or older,5013
